career_name,description,required_skills,qualifications,industry_type
Software Developer,"Develops and maintains software applications for businesses, organizations and consumers.","Programming, problem-solving, debugging, teamwork, analytical thinking",Bachelor's,Technology
Civil Engineer,"Designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings.","Structural analysis, project management, problem-solving, teamwork",Bachelor's,Engineering
Doctor,"Diagnoses, treats, and prevents illnesses, providing medical care to patients.","Medical knowledge, diagnosis, communication, critical thinking",Bachelor's,Healthcare
Registered Nurse,"Provides patient care, administers medication, and assists doctors in medical procedures.","Patient care, empathy, communication, medical procedures",Diploma's,Healthcare
Primary School Teacher,"Teaches students in primary schools, preparing lesson plans and evaluating student performance.","Communication, lesson planning, subject knowledge, patience",UACE certificate,Education
Secondary School Teacher,"Teaches students in secondary schools, preparing lesson plans and evaluating student performance.","Communication, lesson planning, subject knowledge, patiences",Bachelor's,Education
Accountant,"Manages financial records, prepares reports, and ensures compliance with tax laws.","Analytical skills, financial management, attention to detail",Bachelor's,Finance
Lawyer,"Provides legal advice, represents clients in court, and drafts legal documents.","Research, public speaking, negotiation, critical thinking",Bachelor's,Legal
Electrician,"Installs, repairs, and maintains electrical systems in homes and businesses.","Technical skills, problem-solving, safety awareness",UCE certificate,Technical
Journalist,"Gathers and reports news, writes articles, and conducts interviews.","Writing, communication, research, investigative skills",Bachelor's,Media & Communication
Agricultural Officer,"Provides agricultural advice, improves farming techniques, and supports rural development.","Agronomy, research, advisory skills, problem-solving",Bachelor's,Agriculture
Police Officer,"Enforces laws, maintains public order, and investigates crimes.","Physical fitness, problem-solving, discipline, decision-making",UCE certificate,Security
Investment Banker,"Manages financial transactions, advises customers, and offers banking services.","Financial management, customer service, risk analysis",Bachelor's,Finance
Pilot,"Operates aircraft, ensuring safe transportation of passengers or cargo.","Hand-eye coordination, decision-making, situational awareness",Bachelor's,Aviation
Hotel Manager,"Oversees hotel operations, ensuring quality service, guest satisfaction, and financial management.","Leadership, customer service, organization, financial management",Bachelor's,Hospitality
Social Worker,Provides support to vulnerable individuals and communities to improve their well-being.,"Empathy, counseling, communication, problem-solving",Bachelor's,NGO & Social Work
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Data analysis, programming, statistical modeling, machine learning",Bachelor's,Technology
Cybersecurity Specialist,Protects computer systems and networks from cyber threats and attacks.,"Ethical hacking, network security, risk analysis, cryptography",Bachelor's,Technology
Mechanical Engineer,"Designs, develops, and maintains mechanical systems and machinery.","Technical knowledge, problem-solving, CAD software skills",Bachelor's,Engineering
Pharmacist,Dispenses medication and provides advice on drug use and interactions.,"Medical knowledge, customer service, attention to detail",Bachelor's,Healthcare
University Lecturer,"Conducts lectures, research, and guides students at a university level.","Public speaking, research, mentorship, subject expertise",Bachelor's,Education
Financial Analyst,Evaluates financial data to guide investment and business decisions.,"Analytical thinking, problem-solving, financial modeling",Bachelor's,Finance
Radio Host,"Hosts radio programs, entertaining and informing audiences","Public speaking, creativity, research, communication",Bachelor's,Media & Communication
Fisheries Officer,"Manages fishing resources, ensures sustainable fishing practices.","Environmental knowledge, regulatory compliance, problem-solving",Bachelor's,Agriculture
Chef,"Prepares food and manages kitchen operations in hotels, restaurants, or catering businesses.","Cooking, creativity, teamwork, time management",Diploma's,Hospitality
Tour Guide,"Leads tourists to attractions, providing information about culture and history.","Communication, customer service, knowledge of local attractions",Diploma's,Tourism
Environmental Scientist,"Studies environmental issues, promotes conservation, and advises on sustainability","Research, problem-solving, environmental impact analysis",Bachelor's,Environment
Fashion Designer,"Creates clothing and accessories, following fashion trends and client needs.","Creativity, sewing skills, business management",Diploma's,Arts & Design
Photographer,"Captures images for media, events, advertising, and documentation.","Creativity, technical skills, photo editing, attention to detail",Diploma's,Arts & Media
Software Engineer,"Applies engineering principles and techniques to design, develop, test and maintain software","Programming skills, database management, communication,problem skills",Bachelor's,Technology
Marketing Manager,"Responsible for developing, implementing and executing marketing strategies to reach target market","Marketing strategy, campaign management, written skills, critical thinking",Bachelor's,Business
Data Analyst,"Responsible for collecting, organising and analyzing data to help organisations make informed business","Data manipluation, statistical analysis, data moming, collaboration",Bachelor's,Technology
Enterprenuer,"Creates , organises and manages a business","Business acumen, leadership, communication",Bachelor's,Business
Auditor,Responsible for examining and evaluating an organisation's financial statements,"Professional certificates, accounting and financial knowledge, communication",Bachelor's,Finance
Psychologist,Studies the human mind and behavior,"Clinical experience, strong communication, empathy and compassion",Bachelor's,Healthcare
Receptionist,Responsible for managing the front desk and servingas the first point of contact for clients,"Communication skills, techanical skills, customer service skills",Bachelor's,Business
Epidemiologist,Studies disease outbreaks and prevention,"Data analysis, research, statistical modeling",Master's,Healthcare
IT officer,Manages IT infrastructure in organizations,"Networking, cybersecurity, troubleshooting",Bachelor's ,Technology
Taxation officer,Ensures tax compliance and policy enforcement,"Accounting, tax law, financial analysis",Bachelor's ,Technology
IT Auditor,Assesses IT security and compliance in businesses,"Cybersecurity, risk management, auditing",Bachelor's ,Technology
Neurosurgeon,Performs surgeries on the brain and nervous system,"Surgery, attention to detail, diagnosis",Master's,Healthcare
Sales Representative,Sells products/services and maintains customer relations,"Communication, negotiation, marketing",Bachelor's,Finance
Oil and Gas engineer,Designs extraction methods for oil and gas,"Engineering, geology, problem-solving",Bachelor's ,Oil and gas
Dentist,Diagnoses and treats oral health problems,"Dental procedures, patient care, diagnosis",Bachelor's ,Healthcare
Surgeon,Performs medical operations and procedures,"Surgery, precision, patient care",Bachelor's,Healthcare
AI Researcher,Develops artificial intelligence algorithms and applications,"Machine learning, programming, statistics",Master's,Technology
UX Designer,Designs user-friendly digital interfaces,"UI/UX design, wireframing, research",Bachelor's,Technology
